Time	OTF	Algorithm	Param	States	StateConfig	OtfStateConfig	AlgorithmParam	AlgorithmStateConfig	AlgorithmParamStateConfig	ExecutionTime	ExecutionTimeNormalized
10530	0.1452991452991453	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	32.345478	0.9215235897435897
13830	0.1323210412147505	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	48.373591	1.0493186767895877
15030	0.1417165668662675	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	63.078521	1.2590523153692614
18930	0.1442155309033281	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	96.742772	1.5331659587955626
43530	0.1454169538249483	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	334.447629	2.3049457546519645
11430	0.1338582677165354	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	27.263791	0.7155850656167979
13230	0.1383219954648526	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	40.397819	0.9160503174603174
12630	0.1448931116389549	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	38.480981	0.9140375534441805
35730	0.1435768261964736	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	257.386362	2.161094559193955
27630	0.1422366992399566	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	144.317056	1.5669604343105321
15330	0.1389432485322896	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	49.767596	0.9739255577299412
23430	0.1421254801536492	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	90.50935	1.1588905249679897
22530	0.1478029294274301	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	105.868273	1.4096973768308922
23730	0.1403286978508217	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	142.127429	1.7968069405815426
38130	0.1424075531077891	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	274.247276	2.157728371361133
17730	0.1370558375634518	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	66.351776	1.1227034856175973
21030	0.1440798858773181	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	120.469812	1.7185422539229673
19830	0.1376701966717095	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	192.697341	2.9152396520423602
42030	0.1434689507494647	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	311.923664	2.2264358600999286
20730	0.14616497829233	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	92.260205	1.3351693921852388
12930	0.1415313225058005	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	37.67158	0.8740505800464037
19830	0.1376701966717095	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	79.185142	1.1979597881996975
18630	0.1465378421900161	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	74.807199	1.2046247826086955
11730	0.1304347826086957	markov-multisize	0.1486	1	1.0	0.1486-1.0	markov-multisize-0.1486	markov-multisize-1.0	markov-multisize-0.1486-1.0	33.548067	0.8580068286445013
