Time	OTF	Violation	Algorithm	Param	States	StateConfig	OtfStateConfig	AlgorithmParam	AlgorithmStateConfig	AlgorithmParamStateConfig	ExecutionTime	ExecutionTimeNormalized
10830	0.1135734072022161	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	153.518967	4.252602963988919
12930	0.09512761020881672	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	107.717686	2.4992502552204177
12930	0.1183294663573086	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	114.126798	2.6479535498839906
17430	0.05335628227194492	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	147.413482	2.5372372117039586
22530	0.08122503328894808	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	125.652555	1.6731365512649803
13230	0.1156462585034014	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	34.88564	0.7910575963718821
15030	0.04191616766467066	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	45.546501	0.9091117964071855
29430	0.0927624872579001	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	155.797835	1.588153261977574
29730	0.09182643794147326	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	159.255753	1.6070207164480323
38430	0.1100702576112412	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	234.487226	1.8305013739266198
20730	0.1027496382054993	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	64.073075	0.927251447178003
12330	0.09975669099756691	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	20.399873	0.49634727493917274
10230	0.1202346041055718	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	17.109823	0.501754340175953
9330	0.03536977491961415	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	11.569996	0.37202559485530545
20130	0.135618479880775	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	66.940373	0.9976210581222057
11730	0.0792838874680307	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	18.388371	0.47029081841432224
9030	0.06976744186046512	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	7.98112	0.265153488372093
9030	0.06976744186046512	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	8.127649	0.270021561461794
12030	0.1022443890274314	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	18.840224	0.46983102244389024
12330	0.1240875912408759	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	21.059846	0.5124050121654501
24030	0.101123595505618	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	79.771458	0.9958983520599252
15330	0.0410958904109589	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	28.238001	0.5526027592954991
12630	0.09738717339667458	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	19.416355	0.461196080760095
10230	0.06158357771260997	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	8.95853	0.26271348973607034
17730	0.1201353637901861	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	38.993531	0.659789018612521
19830	0.1074130105900151	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	67.892957	1.0271249167927383
31230	0.05859750240153698	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	123.337724	1.1848004226705091
10230	0.06158357771260997	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	12.116966	0.3553362463343108
15330	0.0410958904109589	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	34.748186	0.6800036399217221
14130	0.1082802547770701	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	29.588598	0.628208025477707
31530	0.1056137012369172	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	114.730356	1.091630409134158
12330	0.09975669099756691	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	18.562659	0.45164620437956204
9330	0.06752411575562701	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	11.083676	0.3563882958199357
16230	0.1312384473197782	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	31.342418	0.5793422920517559
17730	0.1201353637901861	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	41.110268	0.6956052115059221
12630	0.1448931116389549	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	24.141908	0.5734419952494062
9030	0.03654485049833887	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	11.486019	0.38159531561461796
13830	0.08893709327548807	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	20.915175	0.45369143167028203
13230	0.1156462585034014	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	32.116822	0.7282726077097506
13530	0.02439024390243902	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	20.567996	0.4560531263858093
13230	0.07029478458049887	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	23.792077	0.539502879818594
21630	0.09847434119278779	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	65.573195	0.9094756588072123
12630	0.07363420427553444	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	22.288819	0.5294256294536817
22830	0.1064388961892247	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	63.661221	0.8365469250985546
18630	0.03381642512077295	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	49.53916	0.7977320450885669
10530	0.08831908831908832	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	10.907489	0.31075467236467236
12930	0.1183294663573086	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	18.587097	0.43125515081206495
10530	0.08831908831908832	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	15.09051	0.4299290598290598
9030	0.06976744186046512	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	10.14568	0.337065780730897
23730	0.06447534766118837	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	62.103727	0.7851292920353983
36630	0.1154791154791155	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	181.698449	1.4881117854217856
12030	0.0773067331670823	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	17.918612	0.44684817955112216
14730	0.0835030549898167	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	25.901125	0.5275178207739307
13830	0.1323210412147505	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	28.520489	0.6186657049891541
17430	0.1049913941480207	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	46.404659	0.7987032530120483
27030	0.07880133185349612	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	105.802639	1.1742801220865706
23730	0.06447534766118837	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	68.534509	0.8664286852085967
17130	0.0542907180385289	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	41.326367	0.7237542381786339
15030	0.1616766467065868	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	38.523073	0.768923612774451
10530	0.1168091168091168	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	16.919084	0.4820251851851852
24630	0.03775883069427527	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	84.831211	1.0332668818514008
19530	0.04761904761904762	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	44.858688	0.6890735483870969
11730	0.1304347826086957	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	24.200279	0.6189329667519181
14730	0.1242362525458248	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	22.768162	0.46371002036659875
15930	0.09604519774011298	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	33.270339	0.6265600564971752
13530	0.04656319290465632	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	24.326274	0.5393852328159645
15030	0.1417165668662675	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	35.935684	0.717279121756487
18330	0.06710310965630115	1	lr	1.05	0		1.05-	lr-1.05	lr-	lr-1.05-	40.720385	0.6664547463175122
